#Transcript position	Transcript coverage profile
0.0	0.04628331456796682
1.0	0.031139066204795347
2.0	0.020076513969356804
3.0	0.03432632507459044
4.0	0.02550046716723056
5.0	0.01645004810137922
6.0	0.02569702280490306
7.0	0.03150662916725328
8.0	0.02075907041056898
9.0	0.030957158953769815
10.0	0.0245758783850384
11.0	0.01230026946102766
12.0	0.0274948687533293
13.0	0.028834202654191975
14.0	0.017573359675901557
15.0	0.0212478787474097
16.0	0.01953427254746174
17.0	0.0267346396087997
18.0	0.030809599901813842
19.0	0.016352984745878943
20.0	0.017401521977978653
21.0	0.011816818429962551
22.0	0.014757938822967132
23.0	0.024609407957338514
24.0	0.009798263455652996
25.0	0.006293327894814905
26.0	0.02124773464068563
27.0	0.0100504547946011
28.0	0.01821146271402253
29.0	0.009563909634504354
30.0	0.02857123908143852
31.0	0.025805880885413378
32.0	0.007348958572810632
33.0	0.002758756566879608
34.0	0.005633802816901409
35.0	0.015156021887218978
36.0	0.017078866770242705
37.0	0.0234829068712208
38.0	0.0020804438280166435
39.0	0.014184218928540444
40.0	0.01503627227522892
41.0	0.012506106943556076
42.0	0.03751173385720319
43.0	0.022248782658528553
44.0	0.0338979100289918
45.0	0.01976908625912563
46.0	0.01936435210541855
47.0	0.00214204349080819
48.0	0.02198274766056662
49.0	0.016343861725589118
50.0	0.023272157019737304
51.0	0.027010533597786934
52.0	0.018775017385669855
53.0	0.029109069452689488
54.0	0.016766194904827454
55.0	0.03363818374722386
56.0	0.00816763848930772
57.0	0.005589448300847163
58.0	0.02478284935385401
59.0	0.01929060337193215
60.0	0.011412130246347513
61.0	0.011531840804257948
62.0	0.029310169004745232
63.0	0.009476575628763974
64.0	0.026376484198537158
65.0	0.013918497926777221
66.0	0.009153401716177473
67.0	0.016183347763711792
68.0	0.03966231550849054
69.0	0.021818769155311352
70.0	0.023733778492426652
71.0	0.01651254159039365
72.0	0.01780915697267687
73.0	0.001095526747621285
74.0	0.02027159779834764
75.0	0.03350555413878238
76.0	0.009307410272481935
77.0	0.010576880630880615
78.0	0.021750463039308804
79.0	0.0024669031610565118
80.0	0.016193687108623858
81.0	0.03494900736189982
82.0	0.004209424032650191
83.0	0.0156625214503457
84.0	0.03041497687961453
85.0	0.025198065205069335
86.0	0.012122574277511749
87.0	0.013176806933166927
88.0	0.019239829045408982
89.0	0.005955754412130251
90.0	0.021786273052569267
91.0	0.02263358905879788
92.0	0.021631403966780684
93.0	0.00986748671721844
94.0	0.017132908530463863
95.0	0.021256969399082844
96.0	0.044728845403567766
97.0	0.025242610664023366
98.0	0.0358942612636038
99.0	0.03658416093652941
