#Transcript position	Transcript coverage profile
0.0	0.038829620874156756
1.0	0.009512098871478634
2.0	0.020108122685581934
3.0	0.023988763998647723
4.0	0.05048067587418747
5.0	0.02643817503182419
6.0	0.014462068313806947
7.0	0.014225456653644566
8.0	0.004937995122578197
9.0	0.022239252965712872
10.0	0.025188879173876112
11.0	0.01945540960828989
12.0	0.0011152416356877324
13.0	0.00865883291625866
14.0	0.023343523021153396
15.0	0.011071258028520511
16.0	0.0
17.0	0.0027357593195337458
18.0	0.007633457836073741
19.0	0.013633490888377287
20.0	0.018286427531604216
21.0	0.008449808280148472
22.0	0.012128555614999769
23.0	0.017153787586216246
24.0	0.016414928119691117
25.0	0.018820314551454113
26.0	0.01382013637390329
27.0	0.013560121433999973
28.0	0.03179104233176283
29.0	0.0056691498026076766
30.0	0.014976593406573143
31.0	0.010358861727502179
32.0	0.02026361682804321
33.0	0.02102959789634191
34.0	0.011903590729658142
35.0	0.016374236900768276
36.0	0.006871952219081912
37.0	0.011066933226631478
38.0	0.009863596651043057
39.0	0.017021016614780084
40.0	0.020002296469377356
41.0	0.022616668260421958
42.0	0.011566655263920778
43.0	0.0144797902572379
44.0	0.012854451928096807
45.0	0.004617630811883114
46.0	0.005196402245370983
47.0	0.016888414248746347
48.0	0.022106832186755826
49.0	0.02293891936766979
50.0	0.016615898603639948
51.0	0.027269125233251753
52.0	0.013534361405111113
53.0	0.01929532031675932
54.0	0.025360659454193704
55.0	0.013712021697125534
56.0	0.01597422231954832
57.0	0.011277783255056299
58.0	0.026237549077809202
59.0	0.011472581585498893
60.0	0.012105866136903877
61.0	0.012928167708272653
62.0	0.014033396928544358
63.0	0.013319752222717831
64.0	0.024761784176925764
65.0	0.018609781218748
66.0	0.0138233711078398
67.0	0.006987970241349629
68.0	0.0222806861448444
69.0	0.01578589932552547
70.0	0.03494030682969143
71.0	0.02118478952633854
72.0	0.024380082755487194
73.0	0.03217606809973977
74.0	0.018740100049203047
75.0	0.014760970096808797
76.0	0.009499602612115528
77.0	0.009800591451481927
78.0	0.014466925217122062
79.0	0.011714147765308172
80.0	0.01998185504080028
81.0	0.012667918553786515
82.0	0.012236937757297648
83.0	0.013834439686496986
84.0	0.020276319835450203
85.0	0.01551694585198377
86.0	0.013330599237449715
87.0	0.03221049550577712
88.0	0.018537335204763552
89.0	0.01799517713650958
90.0	0.02757153717357961
91.0	0.02310295960234023
92.0	0.02741165835046383
93.0	0.04492249474447955
94.0	0.02645360349941866
95.0	0.028238753857717947
96.0	0.03553066397169809
97.0	0.013551285010517253
98.0	0.011356171111255873
99.0	0.003956758425320217
